OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
11/15/2015,01:00,7807.98,1021.56,1921.16,540.77,8326.62,2272.63,4256.92,1200.66,27348.29,N
11/15/2015,02:00,7509.22,987.96,1905.79,524.67,7955.43,2157.81,4058.49,1161.79,26261.16,N
11/15/2015,03:00,7348.35,962.30,1893.88,540.34,7753.24,2079.46,3943.34,1121.44,25642.33,N
11/15/2015,04:00,7265.98,956.71,1883.80,570.20,7634.03,2034.41,3886.89,1074.02,25306.05,N
11/15/2015,05:00,7252.93,955.16,1881.01,543.02,7644.15,2010.54,3894.61,1098.70,25280.12,N
11/15/2015,06:00,7333.85,976.94,1881.43,531.77,7778.75,2025.67,3961.98,1138.36,25628.76,N
11/15/2015,07:00,7472.40,1018.86,1893.84,572.97,8255.88,1771.33,4409.79,1128.95,26524.01,N
11/15/2015,08:00,7577.20,1053.39,1919.52,592.75,8582.40,1900.00,4501.60,1192.37,27319.24,N
11/15/2015,09:00,7969.87,1115.99,1944.29,640.42,9142.69,2260.39,4593.90,1246.53,28914.08,N
11/15/2015,10:00,8289.72,1144.46,1961.60,646.75,9630.56,2468.98,4841.30,1292.26,30275.63,N
11/15/2015,11:00,8570.66,1148.37,1967.66,621.61,9845.58,2665.27,4988.15,1318.58,31125.89,N
11/15/2015,12:00,8834.48,1142.66,1969.12,654.56,9930.20,2840.15,5041.42,1295.39,31707.99,N
11/15/2015,13:00,9082.27,1169.66,1970.40,705.95,9916.82,2976.69,5046.05,1256.56,32124.40,N
11/15/2015,14:00,9303.87,1177.04,1973.20,727.37,9886.80,3060.02,5073.61,1214.26,32416.17,N
11/15/2015,15:00,9482.10,1165.48,1958.03,730.47,9777.97,3110.62,5107.40,1186.56,32518.64,N
11/15/2015,16:00,9589.97,1168.01,1958.89,643.35,9787.02,3096.38,5143.43,1293.41,32680.46,N
11/15/2015,17:00,9613.36,1195.33,1957.61,622.96,10051.27,3035.82,5276.03,1347.48,33099.87,N
11/15/2015,18:00,9898.17,1281.47,1990.93,686.55,10718.72,3050.32,5603.65,1359.25,34589.05,N
11/15/2015,19:00,10187.89,1331.24,2038.97,671.63,11019.40,3204.27,5940.33,1446.08,35839.80,N
11/15/2015,20:00,10087.17,1325.41,2046.34,681.81,10929.00,3186.89,5920.92,1431.28,35608.82,N
11/15/2015,21:00,9855.93,1295.76,2034.55,635.26,10611.46,3108.43,5750.88,1424.83,34717.09,N
11/15/2015,22:00,9506.05,1254.00,2006.21,634.45,10157.13,2996.45,5516.00,1338.87,33409.16,N
11/15/2015,23:00,8940.15,1172.53,1959.39,705.59,9420.45,2801.86,5112.90,1167.91,31280.78,N
11/15/2015,24:00,8400.65,1092.74,1912.15,665.05,8664.45,2559.64,4698.23,1112.03,29104.94,N
