TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,48.9,39.9,71,29.93,10.0,Calm,Calm,-,N/A,,Clear,0,2015-01-20 06:53:00
1:53 AM,45.0,39.9,82,29.94,10.0,NE,5.8,-,N/A,,Partly Cloudy,50,2015-01-20 07:53:00
2:53 AM,46.9,41.0,80,29.92,10.0,East,3.5,-,N/A,,Scattered Clouds,90,2015-01-20 08:53:00
3:53 AM,48.0,42.1,80,29.92,10.0,NE,3.5,-,N/A,,Mostly Cloudy,50,2015-01-20 09:53:00
4:53 AM,45.0,39.9,82,29.91,10.0,NE,4.6,-,N/A,,Mostly Cloudy,50,2015-01-20 10:53:00
5:53 AM,46.0,39.9,79,29.92,10.0,East,3.5,-,N/A,,Scattered Clouds,80,2015-01-20 11:53:00
6:53 AM,46.9,42.1,83,29.93,10.0,ESE,5.8,-,N/A,,Partly Cloudy,120,2015-01-20 12:53:00
7:53 AM,45.0,41.0,86,29.94,8.0,SE,6.9,-,N/A,,Partly Cloudy,130,2015-01-20 13:53:00
8:53 AM,50.0,45.0,83,29.95,6.0,SE,5.8,-,N/A,,Haze,130,2015-01-20 14:53:00
9:53 AM,54.0,46.0,75,29.97,5.0,SE,4.6,-,N/A,,Haze,140,2015-01-20 15:53:00
10:53 AM,57.9,48.0,70,29.98,5.0,East,4.6,-,N/A,,Haze,100,2015-01-20 16:53:00
11:53 AM,64.9,48.0,54,29.98,7.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-01-20 17:53:00
12:53 PM,68.0,46.9,47,29.94,8.0,East,9.2,-,N/A,,Partly Cloudy,90,2015-01-20 18:53:00
1:53 PM,68.0,46.0,45,29.92,9.0,ENE,9.2,-,N/A,,Partly Cloudy,60,2015-01-20 19:53:00
2:53 PM,70.0,46.0,42,29.91,10.0,NE,6.9,-,N/A,,Clear,50,2015-01-20 20:53:00
3:53 PM,71.1,46.0,41,29.92,10.0,NE,4.6,-,N/A,,Clear,50,2015-01-20 21:53:00
4:53 PM,70.0,45.0,41,29.93,10.0,ENE,9.2,18.4,N/A,,Clear,60,2015-01-20 22:53:00
5:53 PM,66.0,44.1,45,29.96,10.0,NE,10.4,-,N/A,,Partly Cloudy,40,2015-01-20 23:53:00
6:53 PM,63.0,41.0,45,29.99,10.0,NNE,9.2,-,N/A,,Clear,30,2015-01-21 00:53:00
7:53 PM,61.0,39.9,46,30.03,10.0,NNE,8.1,-,N/A,,Partly Cloudy,20,2015-01-21 01:53:00
8:53 PM,57.9,30.9,36,30.06,10.0,NNE,12.7,21.9,N/A,,Partly Cloudy,30,2015-01-21 02:53:00
9:53 PM,55.0,28.9,37,30.08,10.0,NNE,10.4,-,N/A,,Partly Cloudy,20,2015-01-21 03:53:00
10:53 PM,53.6,30.2,41,30.11,10.0,NNE,9.2,-,N/A,,Mostly Cloudy,20,2015-01-21 04:53:00
11:53 PM,52.0,30.9,45,30.13,10.0,NNE,8.1,-,N/A,,Mostly Cloudy,20,2015-01-21 05:53:00
