TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,81.0,68.0,65,29.98,10.0,SSW,6.9,-,N/A,,Scattered Clouds,210,2015-07-01 05:53:00
1:53 AM,79.0,68.0,69,29.98,10.0,SSW,4.6,-,N/A,,Scattered Clouds,200,2015-07-01 06:53:00
2:53 AM,77.0,69.1,76,29.98,10.0,South,10.4,-,N/A,,Partly Cloudy,180,2015-07-01 07:53:00
3:53 AM,75.9,69.1,79,29.97,10.0,South,10.4,-,N/A,,Partly Cloudy,190,2015-07-01 08:53:00
4:53 AM,75.9,70.0,82,29.97,10.0,SSW,6.9,-,N/A,,Partly Cloudy,210,2015-07-01 09:53:00
5:53 AM,75.0,70.0,84,29.98,10.0,SW,8.1,-,N/A,,Partly Cloudy,220,2015-07-01 10:53:00
6:53 AM,75.0,70.0,84,29.98,10.0,SSW,9.2,-,N/A,,Mostly Cloudy,210,2015-07-01 11:53:00
7:53 AM,77.0,70.0,79,29.99,10.0,SSW,6.9,-,N/A,,Scattered Clouds,200,2015-07-01 12:53:00
8:53 AM,80.1,69.1,69,29.99,10.0,SW,9.2,-,N/A,,Scattered Clouds,220,2015-07-01 13:53:00
9:53 AM,82.9,69.1,63,29.99,10.0,SW,9.2,-,N/A,,Mostly Cloudy,220,2015-07-01 14:53:00
10:53 AM,84.9,69.1,59,29.99,10.0,WSW,8.1,-,N/A,,Mostly Cloudy,240,2015-07-01 15:53:00
11:53 AM,87.1,70.0,57,29.99,10.0,SW,8.1,-,N/A,,Mostly Cloudy,230,2015-07-01 16:53:00
12:53 PM,89.1,70.0,53,29.98,10.0,SSW,11.5,-,N/A,,Mostly Cloudy,200,2015-07-01 17:53:00
1:53 PM,90.0,68.0,48,29.97,10.0,SSW,15.0,21.9,N/A,,Mostly Cloudy,210,2015-07-01 18:53:00
2:53 PM,91.9,68.0,45,29.96,10.0,SW,13.8,20.7,N/A,,Mostly Cloudy,220,2015-07-01 19:53:00
3:53 PM,93.9,68.0,43,29.93,10.0,SSW,12.7,20.7,N/A,,Mostly Cloudy,210,2015-07-01 20:53:00
4:53 PM,93.9,66.0,40,29.91,10.0,SSW,15.0,25.3,N/A,,Mostly Cloudy,210,2015-07-01 21:53:00
5:53 PM,91.9,70.0,48,29.91,10.0,SSW,13.8,27.6,N/A,,Mostly Cloudy,200,2015-07-01 22:53:00
6:53 PM,91.9,70.0,48,29.91,10.0,SSW,10.4,18.4,N/A,,Mostly Cloudy,200,2015-07-01 23:53:00
7:53 PM,90.0,70.0,52,29.91,10.0,South,19.6,26.5,N/A,,Mostly Cloudy,180,2015-07-02 00:53:00
8:53 PM,86.0,69.1,57,29.91,10.0,South,17.3,-,N/A,,Mostly Cloudy,190,2015-07-02 01:53:00
9:53 PM,84.0,70.0,63,29.92,10.0,South,12.7,-,N/A,,Scattered Clouds,180,2015-07-02 02:53:00
10:53 PM,82.9,68.0,60,29.94,10.0,South,13.8,20.7,N/A,,Clear,190,2015-07-02 03:53:00
11:53 PM,81.0,66.9,62,29.94,10.0,South,11.5,-,N/A,,Partly Cloudy,190,2015-07-02 04:53:00
