TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,68.0,62.1,81,29.84,10.0,South,4.6,-,N/A,,Mostly Cloudy,190,2014-11-11 06:53:00
1:53 AM,66.0,62.1,87,29.83,10.0,SSE,4.6,-,N/A,,Mostly Cloudy,160,2014-11-11 07:53:00
2:53 AM,64.0,62.1,93,29.85,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-11-11 08:53:00
3:53 AM,66.0,63.0,90,29.85,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-11-11 09:53:00
4:53 AM,64.0,62.1,93,29.87,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-11-11 10:53:00
5:53 AM,66.0,64.0,93,29.87,10.0,SSE,4.6,-,N/A,,Mostly Cloudy,160,2014-11-11 11:53:00
6:53 AM,66.9,64.9,93,29.87,10.0,South,6.9,-,N/A,,Mostly Cloudy,170,2014-11-11 12:53:00
7:53 AM,70.0,66.0,87,29.90,10.0,South,5.8,-,N/A,,Overcast,190,2014-11-11 13:53:00
8:53 AM,71.1,66.9,87,29.94,10.0,WNW,4.6,-,N/A,,Overcast,300,2014-11-11 14:53:00
9:53 AM,71.1,66.9,87,29.96,10.0,Calm,Calm,-,0.00,,Overcast,0,2014-11-11 15:53:00
10:34 AM,71.6,68.0,88,29.94,10.0,West,5.8,-,0.00,Rain,Light Rain,280,2014-11-11 16:34:00
10:53 AM,72.0,68.0,87,29.96,10.0,WNW,8.1,-,0.00,Rain,Light Rain,300,2014-11-11 16:53:00
11:11 AM,71.6,68.0,88,29.95,10.0,NW,8.1,-,0.01,Rain,Light Rain,320,2014-11-11 17:11:00
11:35 AM,68.0,64.4,88,29.96,10.0,NW,17.3,24.2,0.02,Rain,Light Rain,320,2014-11-11 17:35:00
11:53 AM,63.0,59.0,87,29.98,10.0,NW,12.7,-,0.02,Rain,Light Rain,320,2014-11-11 17:53:00
12:53 PM,59.0,48.9,69,29.99,10.0,NNW,17.3,-,N/A,,Overcast,340,2014-11-11 18:53:00
1:53 PM,59.0,46.0,62,29.99,10.0,North,13.8,21.9,N/A,,Overcast,350,2014-11-11 19:53:00
2:53 PM,57.0,45.0,64,30.01,10.0,NNW,16.1,-,N/A,,Overcast,340,2014-11-11 20:53:00
3:53 PM,55.9,43.0,62,30.01,10.0,North,13.8,-,N/A,,Overcast,350,2014-11-11 21:53:00
4:53 PM,55.9,42.1,60,30.03,10.0,NNW,13.8,-,N/A,,Overcast,340,2014-11-11 22:53:00
5:53 PM,55.9,42.1,60,30.06,10.0,North,11.5,-,N/A,,Overcast,350,2014-11-11 23:53:00
6:53 PM,55.0,42.1,62,30.08,10.0,North,18.4,-,N/A,,Overcast,360,2014-11-12 00:53:00
7:53 PM,55.0,41.0,59,30.10,10.0,North,13.8,-,N/A,,Overcast,360,2014-11-12 01:53:00
8:53 PM,54.0,39.9,59,30.11,10.0,North,18.4,-,0.00,,Overcast,10,2014-11-12 02:53:00
9:53 PM,53.1,39.0,59,30.13,10.0,North,13.8,-,N/A,,Overcast,360,2014-11-12 03:53:00
10:53 PM,52.0,37.9,59,30.14,10.0,North,18.4,24.2,N/A,,Overcast,360,2014-11-12 04:53:00
11:30 PM,51.8,39.2,62,30.12,10.0,North,15.0,-,N/A,,Overcast,350,2014-11-12 05:30:00
11:53 PM,51.1,39.0,63,30.14,10.0,North,17.3,23.0,N/A,,Overcast,360,2014-11-12 05:53:00
