TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,77.0,73.0,88,30.05,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 05:53:00
1:53 AM,75.9,73.0,91,30.04,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 06:53:00
2:53 AM,75.9,73.0,91,30.02,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 07:53:00
3:53 AM,75.0,73.0,94,30.02,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 08:53:00
4:53 AM,75.9,73.0,91,30.02,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-09-17 09:53:00
5:53 AM,75.9,73.0,91,30.02,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 10:53:00
6:53 AM,75.0,73.0,94,30.03,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 11:53:00
7:53 AM,77.0,75.0,94,30.04,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-17 12:53:00
8:53 AM,81.0,75.9,85,30.05,10.0,East,4.6,-,N/A,,Partly Cloudy,90,2015-09-17 13:53:00
9:53 AM,84.0,75.9,76,30.05,10.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2015-09-17 14:53:00
10:53 AM,86.0,73.9,67,30.05,10.0,ESE,4.6,-,N/A,,Scattered Clouds,110,2015-09-17 15:53:00
11:53 AM,86.0,73.9,67,30.05,10.0,East,9.2,-,N/A,,Scattered Clouds,100,2015-09-17 16:53:00
12:53 PM,89.1,72.0,57,30.03,10.0,ESE,9.2,-,N/A,,Scattered Clouds,120,2015-09-17 17:53:00
1:53 PM,90.0,73.0,57,30.00,10.0,ESE,10.4,-,N/A,,Scattered Clouds,110,2015-09-17 18:53:00
2:53 PM,88.0,70.0,55,29.98,10.0,East,5.8,-,N/A,,Scattered Clouds,100,2015-09-17 19:53:00
3:53 PM,88.0,71.1,57,29.95,10.0,ESE,11.5,-,N/A,,Scattered Clouds,110,2015-09-17 20:53:00
4:53 PM,89.1,70.0,53,29.94,10.0,SE,8.1,-,N/A,,Scattered Clouds,130,2015-09-17 21:53:00
5:53 PM,87.1,69.1,55,29.94,10.0,SE,6.9,-,N/A,,Scattered Clouds,140,2015-09-17 22:53:00
6:53 PM,84.9,69.1,59,29.94,10.0,SE,5.8,-,N/A,,Scattered Clouds,130,2015-09-17 23:53:00
7:53 PM,82.0,71.1,69,29.94,10.0,SE,3.5,-,N/A,,Scattered Clouds,130,2015-09-18 00:53:00
8:53 PM,79.0,73.0,82,29.95,10.0,SSE,4.6,-,N/A,,Partly Cloudy,160,2015-09-18 01:53:00
9:53 PM,78.1,73.9,87,29.96,10.0,SSE,3.5,-,N/A,,Clear,150,2015-09-18 02:53:00
10:53 PM,78.1,73.9,87,29.96,10.0,SE,3.5,-,N/A,,Clear,130,2015-09-18 03:53:00
11:53 PM,78.1,73.9,87,29.95,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2015-09-18 04:53:00
