TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:46 AM,68.0,62.6,83,30.00,7.0,ESE,3.5,-,N/A,,Overcast,120,2014-02-25 06:46:00
12:51 AM,68.0,62.1,81,29.95,8.0,ESE,4.6,-,N/A,,Overcast,120,2014-02-25 06:51:00
1:51 AM,68.0,63.0,84,29.94,8.0,SE,5.8,-,N/A,,Overcast,130,2014-02-25 07:51:00
2:51 AM,68.0,64.0,87,29.94,7.0,SSE,4.6,-,N/A,,Overcast,150,2014-02-25 08:51:00
3:51 AM,69.1,64.9,87,29.92,5.0,Calm,Calm,-,N/A,,Overcast,0,2014-02-25 09:51:00
4:51 AM,69.1,64.9,87,29.91,7.0,SE,4.6,-,N/A,,Overcast,140,2014-02-25 10:51:00
5:51 AM,69.1,64.0,84,29.92,8.0,SE,8.1,-,N/A,,Overcast,140,2014-02-25 11:51:00
6:51 AM,69.1,64.0,84,29.95,8.0,SE,8.1,-,N/A,,Overcast,130,2014-02-25 12:51:00
7:48 AM,68.0,64.4,88,30.00,2.0,SE,6.9,-,0.00,,Light Drizzle,130,2014-02-25 13:48:00
7:51 AM,68.0,64.9,90,29.96,2.0,SE,5.8,-,0.00,,Light Drizzle,130,2014-02-25 13:51:00
8:03 AM,68.0,64.4,88,30.00,1.0,ESE,4.6,-,0.00,,Light Drizzle,120,2014-02-25 14:03:00
8:48 AM,68.0,66.2,94,30.02,1.0,ESE,5.8,-,0.01,,Light Drizzle,110,2014-02-25 14:48:00
8:51 AM,69.1,66.0,90,29.98,1.0,ESE,5.8,-,0.01,,Light Drizzle,110,2014-02-25 14:51:00
9:00 AM,69.8,66.2,88,30.02,1.5,ESE,5.8,-,0.00,,Light Drizzle,120,2014-02-25 15:00:00
9:51 AM,69.1,66.0,90,29.99,1.5,ESE,4.6,-,0.00,,Light Drizzle,110,2014-02-25 15:51:00
10:03 AM,69.8,66.2,88,30.03,2.5,East,5.8,-,0.00,,Light Drizzle,90,2014-02-25 16:03:00
10:14 AM,69.8,66.2,88,30.04,4.0,East,5.8,-,0.00,,Overcast,90,2014-02-25 16:14:00
10:51 AM,70.0,66.0,87,29.99,5.0,East,8.1,-,0.00,,Overcast,90,2014-02-25 16:51:00
11:29 AM,71.6,64.4,78,30.03,8.0,East,9.2,-,N/A,,Overcast,100,2014-02-25 17:29:00
11:51 AM,73.0,64.9,76,29.97,10.0,ESE,9.2,-,N/A,,Overcast,120,2014-02-25 17:51:00
12:47 PM,73.4,64.4,73,30.00,10.0,ESE,3.5,-,N/A,,Overcast,120,2014-02-25 18:47:00
12:51 PM,73.0,64.0,73,29.95,10.0,SSE,6.9,-,N/A,,Overcast,150,2014-02-25 18:51:00
1:51 PM,75.0,64.0,69,29.92,10.0,East,4.6,-,N/A,,Overcast,90,2014-02-25 19:51:00
2:42 PM,75.2,64.4,69,29.92,10.0,SE,6.9,-,N/A,,Mostly Cloudy,140,2014-02-25 20:42:00
2:51 PM,75.9,64.0,67,29.87,10.0,SSE,4.6,-,N/A,,Mostly Cloudy,150,2014-02-25 20:51:00
3:51 PM,77.0,63.0,62,29.86,10.0,SSE,6.9,-,N/A,,Overcast,160,2014-02-25 21:51:00
4:51 PM,77.0,64.0,64,29.86,10.0,SSE,8.1,-,N/A,,Overcast,160,2014-02-25 22:51:00
5:51 PM,75.0,64.0,69,29.86,10.0,ESE,9.2,-,N/A,,Overcast,120,2014-02-25 23:51:00
6:51 PM,73.0,64.9,76,29.87,10.0,ESE,11.5,-,N/A,,Overcast,120,2014-02-26 00:51:00
7:30 PM,69.8,60.8,73,29.93,10.0,ENE,10.4,-,N/A,,Overcast,60,2014-02-26 01:30:00
7:51 PM,69.1,61.0,75,29.91,10.0,ENE,8.1,-,N/A,,Overcast,60,2014-02-26 01:51:00
8:51 PM,66.0,59.0,78,29.92,10.0,NNE,10.4,-,N/A,,Overcast,20,2014-02-26 02:51:00
9:51 PM,62.1,59.0,90,29.96,3.0,North,12.7,-,0.05,Rain,Heavy Rain,10,2014-02-26 03:51:00
9:54 PM,60.8,59.0,94,29.99,2.0,NNE,9.2,-,0.02,Rain,Rain,20,2014-02-26 03:54:00
9:59 PM,60.8,59.0,94,29.99,3.0,North,9.2,-,0.02,Rain,Light Rain,10,2014-02-26 03:59:00
10:51 PM,59.0,54.0,83,29.96,7.0,NNE,11.5,-,0.02,,Light Drizzle,20,2014-02-26 04:51:00
11:51 PM,57.0,55.0,93,29.96,6.0,North,8.1,18.4,0.00,,Light Drizzle,10,2014-02-26 05:51:00
