TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,69.1,46.9,45,30.21,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2015-10-18 05:51:00
1:51 AM,66.0,46.9,50,30.21,10.0,East,3.5,-,N/A,,Scattered Clouds,80,2015-10-18 06:51:00
2:51 AM,64.9,48.0,54,30.22,10.0,NNE,3.5,-,N/A,,Partly Cloudy,20,2015-10-18 07:51:00
3:51 AM,64.0,48.0,56,30.21,10.0,ENE,3.5,-,N/A,,Scattered Clouds,60,2015-10-18 08:51:00
4:51 AM,63.0,48.0,58,30.22,10.0,NE,4.6,-,N/A,,Scattered Clouds,40,2015-10-18 09:51:00
5:51 AM,62.1,46.9,58,30.23,10.0,NE,5.8,-,N/A,,Scattered Clouds,40,2015-10-18 10:51:00
6:51 AM,61.0,45.0,56,30.25,10.0,ENE,4.6,-,N/A,,Clear,60,2015-10-18 11:51:00
7:51 AM,60.1,44.1,55,30.27,10.0,ENE,4.6,-,N/A,,Partly Cloudy,60,2015-10-18 12:51:00
8:51 AM,60.1,41.0,49,30.29,10.0,ENE,5.8,-,N/A,,Scattered Clouds,60,2015-10-18 13:51:00
9:51 AM,64.0,39.0,40,30.32,10.0,ENE,6.9,-,N/A,,Mostly Cloudy,70,2015-10-18 14:51:00
10:51 AM,68.0,39.0,35,30.32,10.0,ENE,8.1,-,N/A,,Mostly Cloudy,60,2015-10-18 15:51:00
11:51 AM,72.0,41.0,33,30.31,10.0,East,9.2,-,N/A,,Mostly Cloudy,100,2015-10-18 16:51:00
12:51 PM,75.9,42.1,30,30.29,10.0,East,10.4,-,N/A,,Scattered Clouds,100,2015-10-18 17:51:00
1:51 PM,80.1,39.0,23,30.25,10.0,Variable,6.9,-,N/A,,Scattered Clouds,0,2015-10-18 18:51:00
2:51 PM,81.0,37.9,21,30.21,10.0,East,8.1,-,N/A,,Scattered Clouds,100,2015-10-18 19:51:00
3:51 PM,82.9,39.9,22,30.19,10.0,SE,10.4,18.4,N/A,,Partly Cloudy,140,2015-10-18 20:51:00
4:51 PM,84.0,43.0,24,30.18,10.0,East,10.4,-,N/A,,Partly Cloudy,100,2015-10-18 21:51:00
5:51 PM,82.0,42.1,24,30.17,10.0,SE,12.7,-,N/A,,Partly Cloudy,130,2015-10-18 22:51:00
6:51 PM,78.1,43.0,29,30.18,10.0,East,6.9,-,N/A,,Scattered Clouds,80,2015-10-18 23:51:00
7:51 PM,73.9,39.9,29,30.20,10.0,East,6.9,-,N/A,,Partly Cloudy,100,2015-10-19 00:51:00
8:51 PM,72.0,37.0,28,30.22,10.0,East,9.2,-,N/A,,Partly Cloudy,100,2015-10-19 01:51:00
9:51 PM,68.0,35.1,30,30.22,10.0,ESE,6.9,-,N/A,,Partly Cloudy,110,2015-10-19 02:51:00
10:51 PM,66.9,37.9,34,30.24,10.0,SE,11.5,-,N/A,,Partly Cloudy,130,2015-10-19 03:51:00
11:51 PM,64.9,46.9,52,30.24,10.0,SE,8.1,-,N/A,,Partly Cloudy,130,2015-10-19 04:51:00
